product_code,product_name,category,f_sku,spec_code_size,unit
36.L1.3060.USC3603D.1,Gạch 30x60 MS USC3603D Loại 1,F_Bộ,USC3603-USC3603D-USC3603V,3060,Viên
29.L1.5050.FCU5524.01,Gạch 50x50 MS FCU5524 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
20.L1.6060.26904.4,Gạch 60x60 MS 26904 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
29.L1.5050.FCU5507.01,Gạch 50x50 MS FCU5507 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
36.L1.3060.USC3629D.1,Gạch 30x60 MS USC3629D Loại 1,F_Bộ,USC3629-USC3629D-USC3630,3060,Viên
29.L1.5050.FCU5521.01,Gạch 50x50 MS FCU5521 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
36.L1.3060.USC3623.1,Gạch 30x60 MS USC3623 Loại 1,F_Bộ,USC3623-USC3623D-USC3624,3060,Viên
29.L1.5050.FC5001.01,Gạch 50x50 MS FC5001 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
29.L1.5050.FC5006.02,Gạch 50x50 MS FC5006 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
36.L1.3060.USC3622.1,Gạch 30x60 MS USC3622 Loại 1,F_Bộ,USC3621-USC3621D-USC3622,3060,Viên
36.L1.3060.USC3626.1,Gạch 30x60 MS USC3626 Loại 1,F_Bộ,USC3625-USC3625D-USC3626,3060,Viên
36.L1.3060.USC3621.1,Gạch 30x60 MS USC3621 Loại 1,F_Bộ,USC3621-USC3621D-USC3622,3060,Viên
36.L1.3060.USC3621D.1,Gạch 30x60 MS USC3621D Loại 1,F_Bộ,USC3621-USC3621D-USC3622,3060,Viên
36.L1.3060.USC3622.2,Gạch 30x60 MS USC3622 Loại 1,F_Bộ,USC3621-USC3621D-USC3622,3060,Viên
20.L1.5050.91501.5,Gạch 50x50 MS 91501 loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
36.L1.3060.USC3603.3,Gạch 30x60 MS USC3603 Loại 1,F_Bộ,USC3603-USC3603D-USC3603V,3060,Viên
